Indicator Name,Value
Outward Direct Investment Positions,4854000000
Outward Direct Investment Positions,5360000000
Outward Direct Investment Positions,5084000000
Outward Direct Investment Positions,5289000000
Outward Direct Investment Positions,4625000000
Outward Direct Investment Positions,3014000000
Outward Direct Investment Positions,2698000000
Outward Direct Investment Positions,2697000000
Outward Direct Investment Positions,2567000000
Outward Direct Investment Positions,2942000000
Outward Direct Investment Positions,2715000000
Outward Direct Investment Positions,1953000000
"Outward Equity Positions (Net), Derived",5111223387.43982
"Outward Equity Positions (Net), Derived",5605679633.85277
"Outward Equity Positions (Net), Derived",6087724563.3527
Inward Direct Investment Positions,10000000
Inward Direct Investment Positions,-32000000
Inward Direct Investment Positions,163000000
Inward Direct Investment Positions,160000000
Inward Direct Investment Positions,89000000
Inward Direct Investment Positions,207000000
Inward Direct Investment Positions,235000000
Inward Direct Investment Positions,230000000
Inward Direct Investment Positions,107000000
Inward Direct Investment Positions,101000000
Outward Direct Investment Positions,-2000000
Outward Direct Investment Positions,64000000
Outward Direct Investment Positions,45000000
Outward Direct Investment Positions,165000000
Outward Direct Investment Positions,168000000
Outward Direct Investment Positions,309000000
Outward Direct Investment Positions,348000000
Outward Direct Investment Positions,346000000
Outward Direct Investment Positions,2000000
Outward Direct Investment Positions,2000000
Outward Direct Investment Positions,2000000
Outward Direct Investment Positions,2000000
Outward Direct Investment Positions,2000000
Outward Direct Investment Positions,7000000
Outward Direct Investment Positions,7000000
Outward Direct Investment Positions,7000000
Outward Direct Investment Positions,7000000
Outward Direct Investment Positions,7000000
Outward Direct Investment Positions,7000000
Outward Direct Investment Positions,7000000
"Inward Equity Positions (Net), Derived",4665510074.95191
"Inward Equity Positions (Net), Derived",5041351394.52248
"Inward Equity Positions (Net), Derived",5241999575.33333
Outward Debt Instruments Liabilities Positions (Gross),1926000000
Outward Debt Instruments Liabilities Positions (Gross),5557000000
Outward Debt Instruments Liabilities Positions (Gross),2044000000
Outward Debt Instruments Liabilities Positions (Gross),1261000000
Outward Debt Instruments Liabilities Positions (Gross),1077000000
Outward Debt Instruments Liabilities Positions (Gross),1645000000
Outward Debt Instruments Liabilities Positions (Gross),1697000000
Outward Debt Instruments Liabilities Positions (Gross),1790000000
Outward Debt Instruments Liabilities Positions (Gross),1321000000
Outward Debt Instruments Liabilities Positions (Gross),6557000000
Outward Debt Instruments Liabilities Positions (Gross),6418000000
Outward Debt Instruments Liabilities Positions (Gross),6646000000
"Outward Debt Positions (Net): Resident Enterprises that are not Financial Intermediaries, Derived",5566074658.36951
"Outward Debt Positions (Net): Resident Enterprises that are not Financial Intermediaries, Derived",5497309715.25147
"Outward Debt Positions (Net): Resident Enterprises that are not Financial Intermediaries, Derived",5673238402.28078
"Outward Debt Positions (Net): Resident Enterprises that are not Financial Intermediaries, Derived",7612851175.56909
"Outward Direct Investment Positions, Derived",18873038012.41
"Outward Direct Investment Positions, Derived",16992881094.0127
"Outward Direct Investment Positions, Derived",17712764025.9063
"Outward Direct Investment Positions, Derived",19634160778.278
"Outward Direct Investment Positions, Derived",17209535644.7591
"Outward Direct Investment Positions, Derived",20014830492.6888
Outward Direct Investment Positions,12610000000
Outward Direct Investment Positions,11747000000
Outward Direct Investment Positions,13885000000
Outward Direct Investment Positions,13393000000
Outward Direct Investment Positions,13427000000
Outward Direct Investment Positions,14727000000
Outward Direct Investment Positions,14624000000
Outward Direct Investment Positions,14273000000
Outward Direct Investment Positions,15219000000
Outward Direct Investment Positions,8907000000
Outward Direct Investment Positions,9974000000
Outward Direct Investment Positions,8730000000
Inward Direct Investment Positions,1000000
Inward Direct Investment Positions,1000000
Inward Direct Investment Positions,2000000
Inward Direct Investment Positions,2000000
Inward Direct Investment Positions,2000000
Inward Direct Investment Positions,-4000000
Inward Direct Investment Positions,-5000000
Inward Direct Investment Positions,-6000000
Inward Direct Investment Positions,-6000000
"Inward Equity Positions (Net), Derived",1000000
"Inward Equity Positions (Net), Derived",1607500.51642223
"Outward Debt Instruments Liabilities Positions (Gross), Derived",705000
"Outward Debt Instruments Liabilities Positions (Gross), Derived",32142.326180683
"Outward Debt Instruments Liabilities Positions (Gross), Derived",95150.872695
"Outward Debt Instruments Liabilities Positions (Gross), Derived",50697.938817188
"Outward Debt Instruments Liabilities Positions (Gross), Derived",103007.751937984
"Outward Debt Instruments Liabilities Positions (Gross), Derived",50402.809336914
"Outward Debt Instruments Liabilities Positions (Gross), Derived",28940.568475452
"Outward Debt Instruments Liabilities Positions (Gross), Derived",14800.917239942
"Outward Debt Instruments Liabilities Positions (Gross), Derived",18752.750722364
"Outward Debt Positions (Net): Resident Enterprises that are not Financial Intermediaries, Derived",77895900
"Outward Debt Positions (Net): Resident Enterprises that are not Financial Intermediaries, Derived",84687500
"Outward Debt Positions (Net): Resident Enterprises that are not Financial Intermediaries, Derived",90869300
"Outward Debt Positions (Net): Resident Enterprises that are not Financial Intermediaries, Derived",105821300
"Outward Debt Positions (Net): Resident Enterprises that are not Financial Intermediaries, Derived",108274900
"Outward Debt Positions (Net): Resident Enterprises that are not Financial Intermediaries, Derived",60873949.93368
"Outward Debt Positions (Net): Resident Enterprises that are not Financial Intermediaries, Derived",73258708.0103359
"Outward Debt Positions (Net): Resident Enterprises that are not Financial Intermediaries, Derived",77380253.7504649
"Outward Debt Positions (Net): Resident Enterprises that are not Financial Intermediaries, Derived",64511051.4356538
